feroxbuster -u http://surveillance.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://surveillance.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
503      GET        7l       14w      206c http://surveillance.htb/css/~webmaster
503      GET        7l       14w      206c http://surveillance.htb/css/_include
503      GET        7l       14w      206c http://surveillance.htb/css/_includes
503      GET        7l       14w      206c http://surveillance.htb/css/_lib
503      GET        7l       14w      206c http://surveillance.htb/css/2010
503      GET        7l       14w      206c http://surveillance.htb/css/07
503      GET        7l       14w      206c http://surveillance.htb/css/~operator
503      GET        7l       14w      206c http://surveillance.htb/css/_conf
503      GET        7l       14w      206c http://surveillance.htb/css/2000
503      GET        7l       14w      206c http://surveillance.htb/css/05
503      GET        7l       14w      206c http://surveillance.htb/css/06
503      GET        7l       14w      206c http://surveillance.htb/css/_config
503      GET        7l       14w      206c http://surveillance.htb/css/~www
503      GET        7l       14w      206c http://surveillance.htb/css/1000
503      GET        7l       14w      206c http://surveillance.htb/css/~adm
503      GET        7l       14w      206c http://surveillance.htb/css/13
503      GET        7l       14w      206c http://surveillance.htb/css/1994
503      GET        7l       14w      206c http://surveillance.htb/css/08
503      GET        7l       14w      206c http://surveillance.htb/css/_data
503      GET        7l       14w      206c http://surveillance.htb/css/1001
503      GET        7l       14w      206c http://surveillance.htb/css/2001
503      GET        7l       14w      206c http://surveillance.htb/css/_css
503      GET        7l       14w      206c http://surveillance.htb/css/1997
503      GET        7l       14w      206c http://surveillance.htb/css/2002
503      GET        7l       14w      206c http://surveillance.htb/css/1998
503      GET        7l       14w      206c http://surveillance.htb/css/2004
503      GET        7l       14w      206c http://surveillance.htb/css/2003
503      GET        7l       14w      206c http://surveillance.htb/css/_layouts
503      GET        7l       14w      206c http://surveillance.htb/bannerads
503      GET        7l       14w      206c http://surveillance.htb/css/1990
503      GET        7l       14w      206c http://surveillance.htb/css/1995
503      GET        7l       14w      206c http://surveillance.htb/css/15
503      GET        7l       14w      206c http://surveillance.htb/css/2005
503      GET        7l       14w      206c http://surveillance.htb/css/14
503      GET        7l       14w      206c http://surveillance.htb/css/1996
503      GET        7l       14w      206c http://surveillance.htb/css/_dummy
503      GET        7l       14w      206c http://surveillance.htb/css/09
503      GET        7l       14w      206c http://surveillance.htb/css/_media
503      GET        7l       14w      206c http://surveillance.htb/banneradmin
503      GET        7l       14w      206c http://surveillance.htb/css/~admin
503      GET        7l       14w      206c http://surveillance.htb/css/1991
503      GET        7l       14w      206c http://surveillance.htb/css/102
503      GET        7l       14w      206c http://surveillance.htb/banner_element
503      GET        7l       14w      206c http://surveillance.htb/css/103
503      GET        7l       14w      206c http://surveillance.htb/css/2008
503      GET        7l       14w      206c http://surveillance.htb/css/2006
503      GET        7l       14w      206c http://surveillance.htb/css/_dev
503      GET        7l       14w      206c http://surveillance.htb/banner2
503      GET        7l       14w      206c http://surveillance.htb/css/_db_backups
503      GET        7l       14w      206c http://surveillance.htb/css/2007
503      GET        7l       14w      206c http://surveillance.htb/css/_database
503      GET        7l       14w      206c http://surveillance.htb/css/_mem_bin
503      GET        7l       14w      206c http://surveillance.htb/css/_mm
503      GET        7l       14w      206c http://surveillance.htb/css/_derived
503      GET        7l       14w      206c http://surveillance.htb/css/12
503      GET        7l       14w      206c http://surveillance.htb/css/1
503      GET        7l       14w      206c http://surveillance.htb/css/~amanda
503      GET        7l       14w      206c http://surveillance.htb/css/2012
503      GET        7l       14w      206c http://surveillance.htb/css/1992
503      GET        7l       14w      206c http://surveillance.htb/css/2011
503      GET        7l       14w      206c http://surveillance.htb/css/~administrator
503      GET        7l       14w      206c http://surveillance.htb/css/_files
503      GET        7l       14w      206c http://surveillance.htb/css/~apache
503      GET        7l       14w      206c http://surveillance.htb/css/2013
503      GET        7l       14w      206c http://surveillance.htb/css/_flash
503      GET        7l       14w      206c http://surveillance.htb/css/_resources
503      GET        7l       14w      206c http://surveillance.htb/css/1993
503      GET        7l       14w      206c http://surveillance.htb/css/_fpclass
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_pvt
503      GET        7l       14w      206c http://surveillance.htb/css/~bin
503      GET        7l       14w      206c http://surveillance.htb/css/2014
503      GET        7l       14w      206c http://surveillance.htb/css/21
503      GET        7l       14w      206c http://surveillance.htb/css/22
503      GET        7l       14w      206c http://surveillance.htb/css/10
503      GET        7l       14w      206c http://surveillance.htb/css/_mmserverscripts
503      GET        7l       14w      206c http://surveillance.htb/css/_mygallery
503      GET        7l       14w      206c http://surveillance.htb/css/100
503      GET        7l       14w      206c http://surveillance.htb/css/2257
503      GET        7l       14w      206c http://surveillance.htb/css/_net
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_rpc
503      GET        7l       14w      206c http://surveillance.htb/css/_notes
503      GET        7l       14w      206c http://surveillance.htb/css/_old
503      GET        7l       14w      206c http://surveillance.htb/css/_scripts
503      GET        7l       14w      206c http://surveillance.htb/css/_scriptlibrary
503      GET        7l       14w      206c http://surveillance.htb/css/1999
503      GET        7l       14w      206c http://surveillance.htb/css/_pages
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_script
503      GET        7l       14w      206c http://surveillance.htb/css/_source
503      GET        7l       14w      206c http://surveillance.htb/css/1x1
503      GET        7l       14w      206c http://surveillance.htb/css/2
503      GET        7l       14w      206c http://surveillance.htb/css/_overlay
503      GET        7l       14w      206c http://surveillance.htb/css/_swf
503      GET        7l       14w      206c http://surveillance.htb/css/_styles
503      GET        7l       14w      206c http://surveillance.htb/css/_src
503      GET        7l       14w      206c http://surveillance.htb/css/_temp
503      GET        7l       14w      206c http://surveillance.htb/css/_stats
503      GET        7l       14w      206c http://surveillance.htb/css/_templates
503      GET        7l       14w      206c http://surveillance.htb/css/~ftp
503      GET        7l       14w      206c http://surveillance.htb/bar
503      GET        7l       14w      206c http://surveillance.htb/css/_tempalbums
503      GET        7l       14w      206c http://surveillance.htb/css/_test
503      GET        7l       14w      206c http://surveillance.htb/css/_themes
503      GET        7l       14w      206c http://surveillance.htb/css/_template
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_bin
503      GET        7l       14w      206c http://surveillance.htb/css/_tmp
503      GET        7l       14w      206c http://surveillance.htb/banners
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_bin/_vti_adm/admin.dll
503      GET        7l       14w      206c http://surveillance.htb/css/_tmpfileop
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_aut
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_bin/_vti_aut/author.dll
503      GET        7l       14w      206c http://surveillance.htb/css/25
503      GET        7l       14w      206c http://surveillance.htb/css/300
503      GET        7l       14w      206c http://surveillance.htb/css/2g
503      GET        7l       14w      206c http://surveillance.htb/css/23
503      GET        7l       14w      206c http://surveillance.htb/css/24
503      GET        7l       14w      206c http://surveillance.htb/css/3
503      GET        7l       14w      206c http://surveillance.htb/css/30
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_txt
503      GET        7l       14w      206c http://surveillance.htb/css/_images
503      GET        7l       14w      206c http://surveillance.htb/css/_img
503      GET        7l       14w      206c http://surveillance.htb/css/_www
503      GET        7l       14w      206c http://surveillance.htb/Base
503      GET        7l       14w      206c http://surveillance.htb/css/_inc
503      GET        7l       14w      206c http://surveillance.htb/base
503      GET        7l       14w      206c http://surveillance.htb/css/3rdparty
503      GET        7l       14w      206c http://surveillance.htb/css/4
503      GET        7l       14w      206c http://surveillance.htb/css/400
503      GET        7l       14w      206c http://surveillance.htb/css/3g
503      GET        7l       14w      206c http://surveillance.htb/css/32
503      GET        7l       14w      206c http://surveillance.htb/baseball
503      GET        7l       14w      206c http://surveillance.htb/bash
503      GET        7l       14w      206c http://surveillance.htb/basic
