feroxbuster -u http://192.168.56.122:8080 -w /usr/share/wordlists/dirb/common.txt -t 200 -r --scan-dir-listings
                                                                                                                                                                          
 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://192.168.56.122:8080
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 📂  Scan Dir Listings     │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
[####################] - 32s     4614/4614    145/s   http://192.168.56.122:8080/docs/appdev/ 
[####################] - 32s     4614/4614    144/s   http://192.168.56.122:8080/docs/jspapi/ 
[####################] - 31s     4614/4614    148/s   http://192.168.56.122:8080/docs/annotationapi/ 
[####################] - 31s     4614/4614    147/s   http://192.168.56.122:8080/docs/elapi/ 
[####################] - 31s     4614/4614    148/s   http://192.168.56.122:8080/docs/jaspicapi/ 
[####################] - 31s     4614/4614    148/s   http://192.168.56.122:8080/docs/servletapi/ 
[####################] - 31s     4614/4614    150/s   http://192.168.56.122:8080/docs/architecture/ 
[####################] - 31s     4614/4614    148/s   http://192.168.56.122:8080/docs/websocketapi/ 
[####################] - 32s     4614/4614    145/s   http://192.168.56.122:8080/docs/appdev/sample/ 
[####################] - 31s     4614/4614    150/s   http://192.168.56.122:8080/examples/jsp/ 
[####################] - 31s     4614/4614    149/s   http://192.168.56.122:8080/examples/websocket/ 
[####################] - 31s     4614/4614    151/s   http://192.168.56.122:8080/examples/servlets/                                                                       
