feroxbuster -u http://metapress.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://metapress.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/22
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2002
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_res
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/400
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/4
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_source
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/00
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/20
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2003
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/1000
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/04
502      GET        7l       11w      157c http://metapress.htb/awards
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_conf
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.bash_history
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.bashrc
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.htaccess
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/401
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.cache
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.listings
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/11
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.cvs
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.sh_history
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.rhosts
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_src
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.ssh
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.listing
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_files
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_mem_bin
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.git/HEAD
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_mmserverscripts
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_vti_bin
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_source
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_install
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.perf
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_private
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_pages
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_reports
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_mm
